Iteration of walk forward, Classifier, Sampling, Feature selection, Cost sensitive classifier, AUC, Kappa, Precision, Recall,TruePositives, TrueNegatives, FalsePositives, FalseNegatives
2,IBk,NONE,false,false,0.5,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,NONE,false,false,1.0,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,NaiveBayes,NONE,false,false,0.6749370362807161,0.18162694646109653,1.0,0.12048192771084337,10.0,354.0,0.0,73.0
2,IBk,NONE,true,false,1.0,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,NONE,true,false,0.5180722891566265,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,NaiveBayes,NONE,true,false,1.0,0.14735034730351995,1.0,0.0963855421686747,8.0,354.0,0.0,75.0
2,IBk,SIMPLE OVERSAMPLING,false,false,0.5,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,SIMPLE OVERSAMPLING,false,false,1.0,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.6749370362807161,0.18162694646109653,1.0,0.12048192771084337,10.0,354.0,0.0,73.0
2,IBk,SMOTE,false,false,0.5,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,SMOTE,false,false,1.0,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,NaiveBayes,SMOTE,false,false,0.7128854400653462,0.30970375950812923,1.0,0.21686746987951808,18.0,354.0,0.0,65.0
2,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,SMOTE,true,false,0.5,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,NaiveBayes,SMOTE,true,false,1.0,0.21496343901019627,1.0,0.14457831325301204,12.0,354.0,0.0,71.0
2,IBk,NONE,false,true,0.5,0.0,NaN,0.0,0.0,354.0,0.0,83.0
2,RandomForest,NONE,false,true,1.0,0.019374965792786403,1.0,0.012048192771084338,1.0,354.0,0.0,82.0
2,NaiveBayes,NONE,false,true,0.6567626437955211,0.3972413793103447,1.0,0.2891566265060241,24.0,354.0,0.0,59.0
3,IBk,NONE,false,false,0.4880038387715931,-0.03432073544433132,0.0,0.0,0.0,1015.0,27.0,56.0
3,RandomForest,NONE,false,false,0.972168905950096,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,NaiveBayes,NONE,false,false,0.04006717850287908,-0.09729445720513621,0.0019646365422396855,0.017857142857142856,1.0,534.0,508.0,55.0
3,IBk,NONE,true,false,1.0,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,RandomForest,NONE,true,false,0.5,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,NaiveBayes,NONE,true,false,0.07142857142857142,0.12739943758405556,1.0,0.07142857142857142,4.0,1042.0,0.0,52.0
3,IBk,SIMPLE OVERSAMPLING,false,false,0.4880038387715931,-0.03432073544433132,0.0,0.0,0.0,1015.0,27.0,56.0
3,RandomForest,SIMPLE OVERSAMPLING,false,false,0.9730086372360844,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.04006717850287908,-0.09729445720513621,0.0019646365422396855,0.017857142857142856,1.0,534.0,508.0,55.0
3,IBk,SMOTE,false,false,0.4880038387715931,-0.03432073544433132,0.0,0.0,0.0,1015.0,27.0,56.0
3,RandomForest,SMOTE,false,false,0.9731285988483686,-0.001792745782245435,0.0,0.0,0.0,1041.0,1.0,56.0
3,NaiveBayes,SMOTE,false,false,0.020342061968741432,-0.012915129151291645,0.0,0.0,0.0,1034.0,8.0,56.0
3,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,RandomForest,SMOTE,true,false,0.5357142857142857,0.0,NaN,0.0,0.0,1042.0,0.0,56.0
3,NaiveBayes,SMOTE,true,false,0.05357142857142857,-0.10115967460970199,0.0028708133971291866,0.05357142857142857,3.0,0.0,1042.0,53.0
3,IBk,NONE,false,true,0.4880038387715931,-0.03432073544433132,0.0,0.0,0.0,1015.0,27.0,56.0
3,RandomForest,NONE,false,true,0.9731285988483686,-0.024332268370607278,0.0,0.0,0.0,1025.0,17.0,56.0
3,NaiveBayes,NONE,false,true,0.039655881546476555,-0.10066962033269679,0.0029910269192422734,0.05357142857142857,3.0,42.0,1000.0,53.0
