Iteration of walk forward, Classifier, Sampling, Feature selection, Cost sensitive classifier, AUC, Kappa, Precision, Recall,TruePositives, TrueNegatives, FalsePositives, FalseNegatives
2,IBk,NONE,false,false,0.49948717948717947,-0.003161593062562681,0.0,0.0,0.0,2920.0,5.0,133.0
2,RandomForest,NONE,false,false,0.9670278259751944,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,NONE,false,false,0.520573227941649,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,IBk,null,true,false,1.0,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,RandomForest,null,true,false,0.5037593984962406,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,null,true,false,0.0,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,IBk,SIMPLE OVERSAMPLING,false,false,0.49948717948717947,-0.003161593062562681,0.0,0.0,0.0,2920.0,5.0,133.0
2,RandomForest,SIMPLE OVERSAMPLING,false,false,0.97953216374269,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.520573227941649,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,IBk,SMOTE,false,false,0.49948717948717947,-0.003161593062562681,0.0,0.0,0.0,2920.0,5.0,133.0
2,RandomForest,SMOTE,false,false,0.9739348370927319,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,SMOTE,false,false,0.46944026733500416,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,RandomForest,SMOTE,true,false,0.5,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,SMOTE,true,false,0.0,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,IBk,NONE,false,true,0.49948717948717947,-0.003161593062562681,0.0,0.0,0.0,2920.0,5.0,133.0
2,RandomForest,NONE,false,true,0.9726277231540389,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
2,NaiveBayes,NONE,false,true,0.5204652657284237,0.0,NaN,0.0,0.0,2925.0,0.0,133.0
3,IBk,NONE,false,false,0.49938650306748467,-0.003755743410034078,0.0,0.0,0.0,2440.0,5.0,124.0
3,RandomForest,NONE,false,false,0.9864667854080085,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,NONE,false,false,0.42933570816016886,0.06624088538769146,0.1891891891891892,0.056451612903225805,7.0,2415.0,30.0,117.0
3,IBk,null,true,false,0.8553928359390461,0.05966325036603148,1.0,0.03225806451612903,4.0,2445.0,0.0,120.0
3,RandomForest,null,true,false,0.7620967741935484,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,null,true,false,0.7674120984233789,0.093954091012554,0.2571428571428571,0.07258064516129033,9.0,2419.0,26.0,115.0
3,IBk,SIMPLE OVERSAMPLING,false,false,0.49938650306748467,-0.003755743410034078,0.0,0.0,0.0,2440.0,5.0,124.0
3,RandomForest,SIMPLE OVERSAMPLING,false,false,0.9870588429315917,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.42933570816016886,0.06624088538769146,0.1891891891891892,0.056451612903225805,7.0,2415.0,30.0,117.0
3,IBk,SMOTE,false,false,0.49938650306748467,-0.003755743410034078,0.0,0.0,0.0,2440.0,5.0,124.0
3,RandomForest,SMOTE,false,false,0.9865212085229896,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,SMOTE,false,false,0.19706445016162016,0.05353667974670696,0.16216216216216217,0.04838709677419355,6.0,2414.0,31.0,118.0
3,IBk,SMOTE,true,false,0.8553928359390461,0.05966325036603148,1.0,0.03225806451612903,4.0,2445.0,0.0,120.0
3,RandomForest,SMOTE,true,false,0.7943548387096774,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,SMOTE,true,false,0.8461244145392176,0.10263136588130387,0.22448979591836735,0.08870967741935484,11.0,2407.0,38.0,113.0
3,IBk,NONE,false,true,0.49938650306748467,-0.003755743410034078,0.0,0.0,0.0,2440.0,5.0,124.0
3,RandomForest,NONE,false,true,0.9838115970710469,0.0,NaN,0.0,0.0,2445.0,0.0,124.0
3,NaiveBayes,NONE,false,true,0.42908503199419484,0.06427672187251786,0.1794871794871795,0.056451612903225805,7.0,2413.0,32.0,117.0
4,IBk,NONE,false,false,0.5,-8.063633015102289E-4,0.0,0.0,0.0,2370.0,1.0,81.0
4,RandomForest,NONE,false,false,0.9441919073579413,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,NaiveBayes,NONE,false,false,0.14482611389682948,0.017564130039788704,0.14285714285714285,0.012345679012345678,1.0,2365.0,6.0,80.0
4,IBk,null,true,false,1.0,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,RandomForest,null,true,false,0.5123456790123457,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,NaiveBayes,null,true,false,0.19753086419753085,0.023603547998525227,1.0,0.012345679012345678,1.0,2371.0,0.0,80.0
4,IBk,SIMPLE OVERSAMPLING,false,false,0.5,-8.063633015102289E-4,0.0,0.0,0.0,2370.0,1.0,81.0
4,RandomForest,SIMPLE OVERSAMPLING,false,false,0.9862536513738538,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.14482611389682948,0.017564130039788704,0.14285714285714285,0.012345679012345678,1.0,2365.0,6.0,80.0
4,IBk,SMOTE,false,false,0.49978911851539437,-0.0015945509665735646,0.0,0.0,0.0,2369.0,2.0,81.0
4,RandomForest,SMOTE,false,false,0.9351318139452541,-8.063633015102289E-4,0.0,0.0,0.0,2370.0,1.0,81.0
4,NaiveBayes,SMOTE,false,false,0.14724213880687942,-0.0031188033036182103,0.0,0.0,0.0,2367.0,4.0,81.0
4,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,RandomForest,SMOTE,true,false,0.5,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,NaiveBayes,SMOTE,true,false,0.18518518518518517,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,IBk,NONE,false,true,0.5,-8.063633015102289E-4,0.0,0.0,0.0,2370.0,1.0,81.0
4,RandomForest,NONE,false,true,0.9600106221784839,0.0,NaN,0.0,0.0,2371.0,0.0,81.0
4,NaiveBayes,NONE,false,true,0.14482611389682948,0.016631939962751738,0.125,0.012345679012345678,1.0,2364.0,7.0,80.0
5,IBk,NONE,false,false,0.5,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,RandomForest,NONE,false,false,0.8772767018288032,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,NONE,false,false,0.15357853807371025,0.04612270984235173,0.21428571428571427,0.036585365853658534,3.0,1300.0,11.0,79.0
5,IBk,null,true,false,1.0,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,RandomForest,null,true,false,0.5304878048780488,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,null,true,false,1.0,0.129375000000001,1.0,0.07317073170731707,6.0,1311.0,0.0,76.0
5,IBk,SIMPLE OVERSAMPLING,false,false,0.5,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,RandomForest,SIMPLE OVERSAMPLING,false,false,0.913685326784618,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.15357853807371025,0.04612270984235173,0.21428571428571427,0.036585365853658534,3.0,1300.0,11.0,79.0
5,IBk,SMOTE,false,false,0.4992372234935164,-0.0028110109355194736,0.0,0.0,0.0,1309.0,2.0,82.0
5,RandomForest,SMOTE,false,false,0.9037041171327045,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,SMOTE,false,false,0.048278171568901046,-0.006812272058885129,0.0,0.0,0.0,1306.0,5.0,82.0
5,IBk,SMOTE,true,false,1.0,0.02271014681044519,1.0,0.012195121951219513,1.0,1311.0,0.0,81.0
5,RandomForest,SMOTE,true,false,0.5426829268292683,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,SMOTE,true,false,1.0,0.129375000000001,1.0,0.07317073170731707,6.0,1311.0,0.0,76.0
5,IBk,NONE,false,true,0.5,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,RandomForest,NONE,false,true,0.8894718237800227,0.0,NaN,0.0,0.0,1311.0,0.0,82.0
5,NaiveBayes,NONE,false,true,0.15361574668378264,0.039648546366649176,0.16666666666666666,0.036585365853658534,3.0,1296.0,15.0,79.0
